geometry,load,r2,rmse,true_peak,pred_peak,peak_err_pct
plate_circle1,800,0.8298973,18.12409019470215,1292.209228515625,1398.1572265625,8.198981285095215
plate_circle1,5000,0.98672944,31.639158248901367,8076.3076171875,8084.35009765625,0.09958115220069885
plate_circle1,12000,0.8979537,210.56704711914062,19383.13671875,18362.2421875,-5.266921043395996
plate_circle4,800,0.9865025,14.986836433410645,1829.546142578125,1904.3740234375,4.089969635009766
plate_circle4,5000,0.9984645,31.59250831604004,11434.6630859375,11497.435546875,0.5489664077758789
plate_circle4,12000,0.98292565,252.84075927734375,27443.19140625,27468.728515625,0.09305444359779358
plate_circle8,800,0.9954621,36.418888092041016,4283.84521484375,4469.66796875,4.337756156921387
plate_circle8,5000,0.99991065,31.935834884643555,26774.03125,26894.15234375,0.44864776730537415
plate_circle8,12000,0.99885005,275.0009460449219,64257.671875,62463.5859375,-2.792018175125122
plate_double4,800,0.98825836,19.75021743774414,1932.3221435546875,2029.109130859375,5.008843421936035
plate_double4,5000,0.99923044,31.601736068725586,12077.0126953125,12075.34375,-0.013819189742207527
plate_double4,12000,0.99147177,252.4804229736328,28984.83203125,28877.330078125,-0.37089037895202637
plate_double8,800,0.99531484,51.321346282958984,4301.62451171875,4555.3037109375,5.8972883224487305
plate_double8,5000,0.9999259,40.341270446777344,26885.15234375,26986.36328125,0.376456618309021
plate_double8,12000,0.9992133,315.4548645019531,64524.36328125,63261.203125,-1.9576483964920044
plate_ellipse84,800,0.9899051,17.78249740600586,1939.99609375,1970.0986328125,1.5516804456710815
plate_ellipse84,5000,0.9990919,33.33342742919922,12124.9755859375,12128.34765625,0.027810944244265556
plate_ellipse84,12000,0.9921465,235.26876831054688,29099.94140625,29253.814453125,0.5287744402885437
plate_nohole,800,0.4798987,11.714125633239746,956.9301147460938,974.68310546875,1.8552024364471436
plate_nohole,5000,0.87926054,35.27528762817383,5980.81298828125,5947.90380859375,-0.5502459406852722
plate_nohole,12000,-0.041586876,248.659423828125,14353.951171875,14308.763671875,-0.31480878591537476
plate_offset1,800,0.9953234,37.12102508544922,4290.8447265625,4514.1650390625,5.2045769691467285
plate_offset1,5000,0.99990326,33.369407653808594,26817.77734375,26941.96484375,0.4630790054798126
plate_offset1,12000,0.99895775,262.8650207519531,64362.66796875,63123.3125,-1.9255812168121338
plate_offset15,800,0.9954203,36.711734771728516,4301.09130859375,4538.11328125,5.510740280151367
plate_offset15,5000,0.9998911,35.37885284423828,26881.818359375,27002.265625,0.4480621814727783
plate_offset15,12000,0.9987881,283.27532958984375,64516.3671875,62969.80078125,-2.3971691131591797
plate_square8,800,0.99500054,53.14141845703125,4626.68017578125,4907.8740234375,6.0776591300964355
plate_square8,5000,0.99992126,41.678035736083984,28916.75,29198.74609375,0.975199818611145
plate_square8,12000,0.9990943,339.2812805175781,69400.203125,67981.21875,-2.044640064239502
plate_three4,800,0.9883744,23.872882843017578,1932.287353515625,2037.189208984375,5.428894996643066
plate_three4,5000,0.9993811,34.425777435302734,12076.7958984375,12107.66015625,0.2555665969848633
plate_three4,12000,0.994845,238.4532012939453,28984.30859375,29053.427734375,0.2384708970785141
