epoch,loss,seconds
1,1.02943590,1.0
2,0.97590633,1.9
3,0.82798489,2.8
4,0.64671606,3.7
5,0.56941719,4.6
6,0.54579823,5.5
7,0.53040253,6.4
8,0.51714721,7.3
9,0.50972692,8.1
10,0.49429782,9.0
11,0.48535957,9.9
12,0.47147517,10.7
13,0.44892074,11.6
14,0.43107516,12.4
15,0.40036080,13.2
16,0.36785331,14.1
17,0.31825677,14.9
18,0.27163836,15.8
19,0.23776255,16.7
20,0.22678863,17.6
21,0.21675013,18.4
22,0.21488552,19.3
23,0.21018709,20.2
24,0.20288127,21.1
25,0.20156443,22.0
26,0.19623561,22.9
27,0.19747176,23.8
28,0.19643610,24.7
29,0.19264791,25.6
30,0.19293404,26.5
31,0.19317387,27.4
32,0.18960367,28.2
33,0.18581228,29.1
34,0.18643508,30.0
35,0.18228489,30.9
36,0.18380533,31.8
37,0.17893297,32.7
38,0.17777123,33.5
39,0.17825113,34.5
40,0.17740491,35.3
41,0.17647909,36.2
42,0.17645849,37.1
43,0.17582268,38.0
44,0.17535127,38.9
45,0.17329143,39.8
46,0.17395931,40.6
47,0.17056048,41.5
48,0.17219247,42.4
49,0.17013767,43.3
50,0.16911403,44.2
51,0.16774658,45.1
52,0.16718845,46.0
53,0.16512499,46.9
54,0.16357402,47.8
55,0.16331187,48.6
56,0.16390927,49.5
57,0.16034220,50.4
58,0.15907874,51.3
59,0.15802385,52.2
60,0.15786364,53.1
61,0.15977956,54.0
62,0.15694310,54.8
63,0.15544684,55.7
64,0.15540770,56.6
65,0.15253980,57.5
66,0.15380073,58.4
67,0.15304896,59.3
68,0.15545400,60.2
69,0.15230515,61.1
70,0.15172076,62.0
71,0.15155933,62.8
72,0.14980385,63.7
73,0.15127176,64.6
74,0.15080611,65.5
75,0.14889194,66.4
76,0.14774775,67.3
77,0.14755303,68.1
78,0.14655255,69.0
79,0.14626140,69.9
80,0.14536829,70.8
81,0.14539054,71.7
82,0.14708101,72.5
83,0.14398419,73.4
84,0.14474822,74.3
85,0.14366146,75.2
86,0.14277409,76.1
87,0.14155399,76.9
88,0.14207912,77.8
89,0.14285332,78.7
90,0.14110824,79.6
91,0.14221843,80.5
92,0.14056156,81.4
93,0.13990209,82.2
94,0.13930344,83.1
95,0.13827761,84.0
96,0.13880610,84.9
97,0.13934118,85.8
98,0.13635350,86.7
99,0.13656326,87.6
100,0.13527226,88.5
101,0.13614137,89.4
102,0.13531713,90.2
103,0.13496297,91.1
104,0.13358774,92.0
105,0.13344273,92.9
106,0.13159330,93.8
107,0.13237023,94.7
108,0.13125548,95.6
109,0.12998376,96.4
110,0.12973437,97.3
111,0.13002017,98.2
112,0.12919897,99.1
113,0.12974238,100.0
114,0.12722450,100.9
115,0.12653917,101.7
116,0.12619120,102.6
117,0.12487461,103.5
118,0.12458709,104.4
119,0.12497123,105.3
120,0.12387614,106.2
121,0.12265010,107.1
122,0.12179182,107.9
123,0.12138937,108.8
124,0.12234085,109.7
125,0.12168382,110.6
126,0.11995642,111.5
127,0.11961702,112.4
128,0.11698679,113.3
129,0.11756779,114.2
130,0.11618588,115.1
131,0.11617213,115.9
132,0.11574519,116.8
133,0.11492434,117.7
134,0.11319499,118.6
135,0.11275923,119.5
136,0.11129285,120.4
137,0.11249315,121.3
138,0.10922007,122.1
139,0.10817153,123.0
140,0.10798486,123.9
141,0.10797829,124.8
142,0.10559233,125.6
143,0.10493216,126.5
144,0.10460620,127.3
145,0.10404553,128.1
146,0.10198950,128.9
147,0.10221619,129.8
148,0.10190596,130.6
149,0.10171974,131.4
150,0.09951567,132.2
151,0.09921203,133.1
152,0.09794761,133.9
153,0.09692022,134.7
154,0.09785263,135.6
155,0.09870297,136.4
156,0.09419960,137.2
157,0.09396010,138.1
158,0.09382000,138.9
159,0.09255822,139.8
160,0.09143653,140.7
161,0.09174843,141.6
162,0.09181467,142.5
163,0.09134696,143.4
164,0.09029584,144.3
165,0.08821161,145.2
166,0.08846206,146.1
167,0.08672376,146.9
168,0.08636783,147.8
169,0.08771975,148.7
170,0.08472667,149.6
171,0.08494934,150.5
172,0.08619136,151.4
173,0.08415175,152.3
174,0.08475487,153.1
175,0.08238967,154.0
176,0.08343437,154.9
177,0.08274984,155.8
178,0.08271064,156.7
179,0.07890693,157.5
180,0.07991340,158.4
181,0.07846060,159.3
182,0.07834287,160.2
183,0.07849553,161.1
184,0.08013049,162.0
185,0.07946151,162.9
186,0.07529652,163.7
187,0.07562368,164.6
188,0.07471049,165.5
189,0.07442252,166.4
190,0.07404464,167.3
191,0.07201987,168.1
192,0.07316774,169.0
193,0.07338685,169.9
194,0.07061907,170.8
195,0.07079597,171.7
196,0.07061211,172.6
197,0.06943674,173.4
198,0.06929872,174.4
199,0.06738948,175.2
200,0.06779386,176.1
201,0.06973055,177.0
202,0.07031854,177.9
203,0.06887214,178.8
204,0.06669297,179.6
205,0.06769352,180.5
206,0.06757948,181.4
207,0.06721183,182.4
208,0.06565017,183.2
