geometry,panel,load_psi,n_nodes,r2,paper_r2,rmse_psi,mae_psi,peak_truth_psi,peak_pred_psi
plate_hex8,(a),5000,718,0.928398,0.9706,1102.57,649.37,32099.58,25068.73
plate_tri8,(b),5000,744,0.544035,0.7139,1658.95,908.32,21394.85,17060.13
plate_j8,(c),5000,956,0.295970,0.1853,3662.57,1476.06,41583.05,20453.98
plate_j4,(d),5000,1199,-3.802370,-2.8400,5340.68,2311.81,25302.85,38267.01
plate_figure8,(e),5000,736,0.305509,0.3249,1330.99,622.52,16627.77,15694.63
plate_track8,(f),5000,742,0.711734,0.7620,1473.03,849.88,23984.47,28575.57
plate_tracksideways8,(g),5000,652,0.964941,0.8099,1060.56,654.19,29966.63,26012.68
